Displaying Data Collected From https://khro.health.go.ke/#/covid_19_tracker. Some Days are missing on the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Nairobi cases by day,Date,Mombasa,Date,Baringo,Date,Bomet,Date,Bungoma,Date,Busia,Date,Elgeyo-Marakwet,Date,Embu,Date,Garissa,Date,Homa Bay,Date,Isiolo,Date,Kajiado,Date,Kakamega,Date,Kericho(Number of Cases),Date,Kiambu,Date,Kilifi,Date,Kirinyaga,Date,Kisii,Date,Kisumu,Date,Kitui,Date,Kwale,Date,Laikipia,Date,Lamu,Date`,Machakos,Date,Makueni,Date,Mandera,Date,Marsabit,Date,Meru,Date,Migori,Date,Murang'a,Date,Nakuru,Date,Nandi,Date,Narok,Date,Nyamira,Date,Nyandarua,Date,Nyeri,Date,Samburu,Date,Siaya,Date,Taita Taveta,Date,Tharaka-Nithi,Date,Trans Nzoia,Date,Turkana,Date,Uasin Gishu,Date,Vihiga,Date,Wajir,Date,West Pokot
14.03.2020,2,22.03.2020,2,26.07.2020,5,12.05.2020,1,02.05.2020,2,05.05.2020,2,03.06.2020,1,27.05.2020,1,17.05.2020,2,17.04.2020,1,06.05.2020,1,12.03.2020,1,24.03.2020,1,29.05.2020,1,18.04.2020,1,19.03.2020,2,19.05.2020,1,19.05.2020,1,22.05.2020,3,29.03.2020,1,20.03.2020,1,30.05.2020,1,27.06.2020,2,07.05.2020,1,19.05.2020,1,06.04.2020,2,07.06.2020,1,19.05.2020,1,01.05.2020,2,27.05.2020,1,02.04.2020,2,30.05.2020,1,12.06.2020,1,13.06.2020,1,04.07.2020,1,27.05.2020,2,03.08.2020,8,11.04.2020,1,15.05.2020,2,16.07.2020,1,21.05.2020,1,24.05.2020,1,07.04.2020,1,16.06.2020,1,30.04.2020,2,28.07.2020,1
19.03.2020,1,28.03.2020,1,29.07.2020,5,14.07.2020,1,07.06.2020,1,15.05.2020,2,30.07.2020,1,17.06.2020,1,19.05.2020,1,08.05.2020,1,24.05.2020,1,01.04.2020,1,03.06.2020,1,18.06.2020,2,19.04.2020,4,23.03.2020,2,05.07.2020,1,29.05.2020,1,26.05.2020,2,05.04.2020,1,26.04.2020,1,02.06.2020,1,02.07.2020,1,08.05.2020,1,27.05.2020,1,12.04.2020,4,27.06.2020,2,11.06.2020,1,06.05.2020,1,03.06.2020,1,06.05.2020,1,25.06.2020,1,15.06.2020,1,02.07.2020,1,10.07.2020,1,02.06.2020,3,04.08.2020,1,13.04.2020,1,17.05.2020,2,18.07.2020,1,26.06.2020,2,31.05.2020,6,03.05.2020,1,26.06.2020,1,04.05.2020,5,10.08.2020,5
21.03.2020,4,29.03.2020,1,30.07.2020,5,15.07.2020,2,08.06.2020,3,18.05.2020,1,03.08.2020,2,21.07.2020,1,20.05.2020,3,27.05.2020,1,28.05.2020,1,06.05.2020,2,07.06.2020,1,24.06.2020,1,26.04.2020,1,24.03.2020,1,21.07.2020,1,20.06.2020,1,04.06.2020,1,29.04.2020,1,05.05.2020,1,20.06.2020,1,05.07.2020,3,22.05.2020,1,29.05.2020,1,20.04.2020,2,09.07.2020,1,16.06.2020,13,08.05.2020,4,04.06.2020,1,15.05.2020,1,26.06.2020,2,17.06.2020,1,10.07.2020,1,19.07.2020,2,07.06.2020,3,05.08.2020,1,20.05.2020,7,18.05.2020,1,26.07.2020,1,09.07.2020,1,06.06.2020,1,15.05.2020,1,07.07.2020,7,06.05.2020,2,02.09.2020,1
23.03.2020,7,02.04.2020,1,04.08.2020,3,21.07.2020,5,21.06.2020,1,19.05.2020,1,06.08.2020,1,22.07.2020,1,26.05.2020,1,20.06.2020,2,29.05.2020,1,08.05.2020,2,20.06.2020,1,26.06.2020,2,05.05.2020,1,30.03.2020,1,29.07.2020,2,21.06.2020,1,05.06.2020,1,02.05.2020,1,16.05.2020,1,08.07.2020,2,09.07.2020,3,27.05.2020,1,06.06.2020,1,09.05.2020,6,14.07.2020,2,26.06.2020,1,11.05.2020,3,10.06.2020,1,19.05.2020,1,04.07.2020,3,29.06.2020,1,11.07.2020,1,20.07.2020,1,10.06.2020,1,11.08.2020,1,06.06.2020,1,20.05.2020,1,29.07.2020,4,11.07.2020,1,09.06.2020,7,19.05.2020,1,21.07.2020,1,11.05.2020,4,23.09.2020,2
27.03.2020,8,03.04.2020,1,05.08.2020,1,22.07.2020,1,25.06.2020,1,22.05.2020,6,12.08.2020,1,25.07.2020,3,29.05.2020,1,10.07.2020,1,17.06.2020,3,10.05.2020,9,23.06.2020,1,30.06.2020,4,11.05.2020,1,15.05.2020,1,31.07.2020,20,23.06.2020,1,07.06.2020,1,16.05.2020,1,17.05.2020,3,09.07.2020,1,11.07.2020,6,04.06.2020,5,26.06.2020,1,11.05.2020,1,21.07.2020,2,28.06.2020,1,15.05.2020,1,13.06.2020,1,21.05.2020,2,13.07.2020,1,30.06.2020,20,15.07.2020,1,23.07.2020,1,26.06.2020,1,12.08.2020,4,09.06.2020,1,21.05.2020,1,04.08.2020,2,16.07.2020,1,04.07.2020,3,26.05.2020,1,23.07.2020,1,14.05.2020,2,25.09.2020,6
28.03.2020,1,05.04.2020,5,07.08.2020,1,23.07.2020,1,16.07.2020,1,26.05.2020,1,04.09.2020,1,26.07.2020,1,01.06.2020,2,21.07.2020,1,23.06.2020,1,12.05.2020,3,29.06.2020,1,08.07.2020,1,14.05.2020,2,18.05.2020,1,06.08.2020,4,07.07.2020,1,09.06.2020,2,25.05.2020,3,20.05.2020,6,12.07.2020,1,14.07.2020,4,06.06.2020,3,27.06.2020,9,15.05.2020,4,30.07.2020,1,07.07.2020,1,18.05.2020,3,14.06.2020,2,23.05.2020,1,23.07.2020,1,01.07.2020,2,23.07.2020,1,28.07.2020,1,11.07.2020,1,13.08.2020,4,13.06.2020,1,23.05.2020,1,05.08.2020,2,22.07.2020,1,08.07.2020,1,27.05.2020,2,24.07.2020,1,18.05.2020,1,29.09.2020,2
30.03.2020,6,07.04.2020,1,09.08.2020,3,25.07.2020,8,17.07.2020,1,27.05.2020,3,20.09.2020,2,27.07.2020,1,02.06.2020,1,28.07.2020,1,25.06.2020,1,13.05.2020,4,04.07.2020,2,09.07.2020,1,17.05.2020,3,21.05.2020,1,10.08.2020,3,14.07.2020,3,11.06.2020,1,26.05.2020,1,21.05.2020,5,13.07.2020,1,15.07.2020,4,09.06.2020,3,28.06.2020,1,16.07.2020,2,31.07.2020,1,10.07.2020,1,29.05.2020,3,17.06.2020,1,04.06.2020,1,26.07.2020,2,04.07.2020,2,28.07.2020,1,30.07.2020,1,13.07.2020,2,15.08.2020,8,22.06.2020,1,30.05.2020,1,11.08.2020,11,24.07.2020,5,09.07.2020,1,29.05.2020,10,28.07.2020,1,18.06.2020,1,30.09.2020,1
01.04.2020,23,08.04.2020,2,11.08.2020,1,27.07.2020,3,18.07.2020,2,28.05.2020,16,01.10.2020,2,01.08.2020,4,03.06.2020,3,29.07.2020,1,07.07.2020,2,15.05.2020,1,13.07.2020,1,11.07.2020,1,21.05.2020,1,22.05.2020,1,11.08.2020,4,18.07.2020,6,12.06.2020,2,07.06.2020,1,23.05.2020,1,14.07.2020,7,18.07.2020,1,12.06.2020,3,29.06.2020,3,05.08.2020,6,07.08.2020,1,13.07.2020,2,01.06.2020,4,23.06.2020,4,05.06.2020,1,27.07.2020,2,05.07.2020,1,04.08.2020,1,31.07.2020,5,14.07.2020,7,17.08.2020,11,23.06.2020,1,31.05.2020,2,12.08.2020,6,25.07.2020,1,16.07.2020,2,02.06.2020,12,30.07.2020,2,11.07.2020,2,02.10.2020,3
02.04.2020,15,10.04.2020,1,12.08.2020,3,29.07.2020,9,23.07.2020,1,29.05.2020,3,02.10.2020,1,02.08.2020,1,04.06.2020,1,31.07.2020,2,11.07.2020,1,16.05.2020,3,14.07.2020,3,12.07.2020,1,24.05.2020,6,27.05.2020,1,15.08.2020,13,20.07.2020,1,16.06.2020,1,14.06.2020,1,25.05.2020,8,15.07.2020,2,20.07.2020,1,15.06.2020,1,30.06.2020,5,12.08.2020,2,08.08.2020,1,14.07.2020,1,03.06.2020,5,01.07.2020,1,13.06.2020,1,29.07.2020,3,11.07.2020,2,08.08.2020,1,01.08.2020,1,18.07.2020,2,21.08.2020,2,25.06.2020,13,03.06.2020,2,16.08.2020,1,28.07.2020,1,23.07.2020,6,04.06.2020,1,31.07.2020,2,23.07.2020,7,08.10.2020,1
04.04.2020,12,11.04.2020,2,13.08.2020,2,30.07.2020,5,25.07.2020,2,30.05.2020,6,08.10.2020,1,04.08.2020,5,06.06.2020,1,07.08.2020,3,17.07.2020,1,18.05.2020,7,16.07.2020,1,13.07.2020,1,25.05.2020,6,30.05.2020,1,17.08.2020,1,21.07.2020,3,20.06.2020,1,30.06.2020,1,29.05.2020,3,17.07.2020,5,23.07.2020,2,16.06.2020,3,01.07.2020,1,02.11.2020,7,10.08.2020,1,17.07.2020,4,05.06.2020,3,02.07.2020,2,14.06.2020,1,31.07.2020,4,13.07.2020,2,10.08.2020,5,07.08.2020,2,19.07.2020,2,23.08.2020,6,26.06.2020,1,04.06.2020,4,19.08.2020,8,29.07.2020,2,25.07.2020,9,06.06.2020,11,04.08.2020,2,26.07.2020,2,13.10.2020,5
