"Note : Date, County, Age Group & Sex filters are not applied to Recovered and Recovery ",,
Date,Cumulative Recoveries,Recoveries by Day
3/10/2020,0,
3/11/2020,0,0
3/12/2020,0,0
3/13/2020,0,0
3/16/2020,0,0
3/17/2020,0,0
3/18/2020,0,0
3/19/2020,0,0
3/20/2020,0,0
3/23/2020,0,0
3/24/2020,0,0
3/25/2020,0,0
3/26/2020,0,0
3/27/2020,0,0
3/30/2020,1,1
3/31/2020,1,0
4/1/2020,3,2
4/2/2020,4,1
4/3/2020,4,0
4/6/2020,8,4
4/7/2020,11,3
4/8/2020,11,0
4/9/2020,12,1
4/10/2020,22,10
4/13/2020,40,18
4/14/2020,41,1
4/15/2020,53,12
4/16/2020,53,0
4/17/2020,53,0
4/20/2020,69,16
4/21/2020,74,5
4/22/2020,74,0
4/23/2020,89,15
4/24/2020,95,6
4/27/2020,114,19
4/28/2020,124,10
4/29/2020,129,5
4/30/2020,144,15
5/1/2020,150,6
5/4/2020,173,23
5/5/2020,182,9
5/6/2020,190,8
5/7/2020,197,7
5/8/2020,202,5
5/11/2020,251,49
5/12/2020,259,8
5/13/2020,281,22
5/14/2020,284,3
5/15/2020,284,0
5/18/2020,336,52
5/19/2020,358,22
5/20/2020,358,0
5/21/2020,375,17
5/22/2020,375,0
5/25/2020,402,27
5/26/2020,405,3
5/27/2020,405,0
5/28/2020,421,16
5/29/2020,438,17
6/1/2020,474,36
6/2/2020,482,8
6/3/2020,553,71
6/4/2020,592,39
6/5/2020,643,51
6/8/2020,849,206
6/9/2020,873.00,24.00
6/10/2020,"1,048.00",175.00
6/11/2020,"1,092.00",44.00
6/12/2020,"1,164.00",72.00
6/15/2020,"1,286.00",122.00
6/16/2020,"1,326.00",40.00
6/17/2020,"1,353.00",27.00
6/18/2020,"1,459.00",106.00
6/19/2020,"1,550.00",91.00
6/22/2020,"1,607.00",57.00
6/23/2020,"1,607.00",0.00
6/24/2020,"1,823.00",216.00
6/25/2020,"1,857.00",34.00
6/26/2020,"1,905.00",48.00
6/29/2020,"1,936.00",31.00
6/30/2020,"2,039.00",103.00
7/1/2020,"2,089.00",50.00
7/2/2020,"2,109.00",20.00
7/3/2020,"2,148.00",39.00
7/6/2020,"2,414.00",266.00
7/7/2020,"2,504.00",90.00
7/8/2020,"2,593.00",89.00
7/9/2020,"2,657.00",64.00
7/10/2020,"2,733.00",76.00
7/13/2020,"2,946.00",213.00
7/14/2020,"3,017.00",71.00
7/15/2020,"3,068.00",51.00
7/16/2020,"3,638.00",570.00
7/17/2020,"3,983.00",345.00
7/20/2020,"5,616.00","1,633.00"
7/21/2020,"6,258.00",642.00
7/22/2020,"6,757.00",499.00
7/23/2020,"6,757.00",0.00
7/24/2020,"7,446.00",689.00
7/27/2020,"7,833.00",387.00
7/28/2020,"7,908.00",75.00
7/29/2020,"8,021.00",113.00
7/30/2020,"8,121.00",100.00
7/31/2020,"8,165.00",44.00
8/3/2020,"8,740.00",575.00
8/4/2020,"9,327.00",587.00
8/5/2020,"9,930.00",603.00
8/6/2020,"10,444.00",514.00
8/7/2020,10444,0.00
8/10/2020,"13,495.00","3,051.00"
8/11/2020,"13,867.00",372.00
8/12/2020,"14,610.00",743.00
8/13/2020,"15,100.00",490.00
8/14/2020,"15,298.00",198.00
8/17/2020,"17,160.00","1,862.00"
8/18/2020,"17,368.00",208.00
8/19/2020,"17,612.00",244.00
8/20/2020,"17,869.00",257.00
8/21/2020,"18,157.00",288.00
8/24/2020,"18,895.00",738.00
8/25/2020,"19,055.00",160.00
8/26/2020,"19,296.00",241.00
8/27/2020,"19,368.00",72.00
8/28/2020,"19,434.00",66.00
8/31/2020,"19,893.00",459.00
9/1/2020,"20,211.00",318.00
9/2/2020,"20,449.00",238.00
9/3/2020,"20,644.00",195.00
9/4/2020,"21,059.00",415.00
9/7/2020,"21,310.00",251.00
9/8/2020,"21,483.00",173.00
9/9/2020,"21,557.00",74.00
9/10/2020,"22,047.00",490.00
9/11/2020,"22,442.00",395.00
9/14/2020,"23,243.00",801.00
9/15/2020,"23,243.00",0.00
9/16/2020,"23,364.00",121.00
9/17/2020,"23,611.00",247.00
9/18/2020,"23,709.00",98.00
9/21/2020,"23,949.00",240.00
9/22/2020,"24,147.00",198.00
9/23/2020,"24,253.00",106.00
9/24/2020,"24,334.00",81.00
9/25/2020,24504,170.00
9/28/2020,"24,681.00",177.00
9/29/2020,24740,59.00
9/30/2020,"24,908.00",168.00
10/1/2020,"25,023.00",115.00
10/2/2020,"26,114.00","1,091.00"
10/5/2020,"27,035.00",921.00
10/6/2020,27331,296.00
10/7/2020,"30,659.00","3,328.00"
10/8/2020,"30,710.00",51.00
10/9/2020,"30,876.00",166.00
10/12/2020,"31,097.00",221.00
10/13/2020,"31,340.00",243.00
10/14/2020,"31,428.00",88.00
10/15/2020,"31,508.00",80.00
10/16/2020,"31,648.00",140.00
10/19/2020,"32,084.00",436.00
10/20/2020,"32,522.00",438.00
10/21/2020,"32,760.00",238.00
10/22/2020,"33,050.00",290.00
10/23/2020,"33,421.00",371.00
10/26/2020,"34,429.00","1,008.00"
10/27/2020,"34,832.00",403.00
10/28/2020,"35,258.00",426.00
10/29/2020,"35,604.00",346.00
10/30/2020,"35,876.00",272.00
11/2/2020,"37,442.00","1,566.00"
11/3/2020,"37,846.00",404.00
11/4/2020,"38,432.00",586.00
11/5/2020,"39,234.00",802.00
11/6/2020,"40,172.00",938.00
