Date,Nairobi,Date,Mombasa,Date,Baringo,Date,Bomet,Date,Bungoma,Date,Busia,Date,Elgeyo-Marakwet,Date,Embu,Date,Garisa,Date,HomaBay,Date,Isiolo,Date,Kajiado,Date,Kakamega,Date,Kericho,Date,Kiambu,Date,Kilifi,Date,Kirinyaga,Date,Kisii,Date,kisumu,Date,Kitui,Date,Kwale,Date,Laikipia,Date,Lamu,Date,Machakos,Date,Makueni,Date,Mandera,Date,Marsabit,Date,Meru,Date,Migori,Date,Murang'a,Date,Nakuru,Date,Nandi,Date,Narok,Date,Nyamira,Date,Nyandarua,Date,Nyeri,Date,Samburu,Date,Siaya,Date,Taita Taveta,Date,Tharaka-Nithi,Date,Trans Nzoia,Date,Turkana,Date,Uasin Gishu,Date,Vihiga,Date,Wajir,Date,West pokot
26.03.2020,1,27.03.2020,1,17.08.2020,1,05.05.2020,1,08.04.2020,1,23.06.2020,1,09.11.2020,1,06.09.2020,1,15.06.2020,1,11.05.2020,1,23.07.2020,1,26.05.2020,1,28.07.2020,1,26.07.2020,1,18.04.2020,1,03.07.2020,1,24.07.2020,1,28.07.2020,1,15.07.2020,1,27.05.2020,1,28.10.2020,1,09.07.2020,1,02.07.2020,1,15.05.2020,1,08.06.2020,1,16.07.2020,1,26.11.2020,1,30.07.2020,1,16.06.2020,1,24.06.2020,1,12.05.2020,1,18.08.2020,1,05.07.2020,1,06.11.2020,1,19.07.2020,1,01.06.2020,1,31.03.2020,1,10.04.2020,1,09.09.2020,1,20.07.2020,1,16.09.2020,1,23.08.2020,1,30.06.2020,1,29.07.2020,1,26.05.2020,1,29.03.2021,1
27.03.2020,1,01.04.2020,1,20.08.2020,1,19.07.2020,1,17.12.2020,1,13.07.2020,1,08.03.2021,1,08.09.2020,1,01.07.2020,1,20.10.2020,1,15.08.2020,1,03.06.2020,1,07.08.2020,1,07.08.2020,1,06.05.2020,1,03.08.2020,1,15.08.2020,1,02.08.2020,1,16.07.2020,1,19.07.2020,1,29.10.2020,1,19.07.2020,1,30.07.2020,1,11.06.2020,1,30.06.2020,1,01.08.2020,1,,,12.08.2020,2,17.06.2020,1,16.07.2020,1,26.06.2020,1,16.10.2020,1,12.07.2020,2,18.11.2020,1,26.10.2020,1,02.06.2020,1,,,28.07.2020,1,16.09.2020,1,02.08.2020,1,03.10.2020,1,19.09.2020,1,04.07.2020,1,05.08.2020,1,24.07.2020,1,,
01.04.2020,3,04.04.2020,1,30.10.2020,2,29.07.2020,1,24.12.2020,1,30.07.2020,1,23.03.2021,1,10.10.2020,2,22.07.2020,1,08.11.2020,1,24.08.2020,1,10.06.2020,1,15.08.2020,1,26.09.2020,1,16.05.2020,1,22.08.2020,1,20.08.2020,1,07.08.2020,1,01.09.2020,1,07.08.2020,1,03.11.2020,1,04.08.2020,1,10.08.2020,1,22.06.2020,1,28.07.2020,1,08.11.2020,1,,,25.08.2020,1,22.07.2020,1,24.07.2020,2,07.07.2020,1,31.10.2020,1,06.08.2020,1,30.11.2020,1,31.10.2020,1,11.07.2020,1,,,29.07.2020,1,03.11.2020,1,13.08.2020,1,17.10.2020,1,29.09.2020,1,20.07.2020,2,17.10.2020,1,15.10.2020,1,,
02.04.2020,1,05.04.2020,1,03.11.2020,1,30.07.2020,2,07.07.2021,1,22.09.2020,1,20.04.2021,1,30.10.2020,1,26.07.2020,1,09.11.2020,1,12.09.2020,1,11.06.2020,2,09.10.2020,1,29.09.2020,1,28.05.2020,1,14.10.2020,1,23.09.2020,1,08.08.2020,1,17.09.2020,1,16.08.2020,1,04.11.2020,1,13.08.2020,1,20.08.2020,1,23.06.2020,1,03.08.2020,1,11.11.2020,1,,,07.09.2020,1,31.07.2020,1,27.07.2020,1,08.07.2020,1,14.11.2020,1,11.08.2020,1,28.03.2021,1,02.11.2020,1,27.07.2020,1,,,17.09.2020,1,08.11.2020,1,30.10.2020,1,28.10.2020,1,02.10.2020,1,14.08.2020,1,28.10.2020,1,20.11.2020,1,,
04.04.2020,1,11.04.2020,1,10.11.2020,1,04.08.2020,1,,,31.10.2020,1,13.06.2021,1,31.10.2020,1,06.08.2020,1,15.11.2020,3,28.09.2020,1,17.06.2020,1,10.10.2020,2,09.10.2020,2,05.06.2020,1,24.10.2020,1,15.10.2020,1,14.08.2020,1,03.10.2020,1,19.08.2020,1,06.11.2020,1,24.08.2020,1,18.09.2020,1,09.07.2020,2,04.08.2020,1,17.11.2020,1,,,22.09.2020,1,07.08.2020,1,05.08.2020,1,17.07.2020,1,06.12.2020,1,19.08.2020,1,19.04.2021,1,28.11.2020,1,01.08.2020,1,,,04.10.2020,1,29.11.2020,1,09.11.2020,1,28.03.2021,1,17.10.2020,1,18.08.2020,1,26.11.2020,1,28.03.2021,1,,
05.04.2020,1,18.04.2020,1,24.11.2020,1,25.08.2020,1,,,02.11.2020,1,21.06.2021,1,05.11.2020,1,08.08.2020,1,19.11.2020,2,20.10.2020,1,30.06.2020,1,15.10.2020,1,11.10.2020,2,06.06.2020,1,29.10.2020,1,17.10.2020,1,15.08.2020,1,16.10.2020,1,03.09.2020,1,13.11.2020,1,19.09.2020,1,05.11.2020,1,16.07.2020,1,08.08.2020,1,04.12.2020,1,,,10.10.2020,1,15.08.2020,1,07.08.2020,2,18.07.2020,2,09.03.2021,1,25.08.2020,1,21.04.2021,1,02.12.2020,1,02.08.2020,1,,,02.11.2020,1,12.12.2020,1,22.12.2020,1,08.04.2021,1,30.10.2020,2,22.08.2020,1,30.11.2020,1,06.08.2021,1,,
07.04.2020,1,19.04.2020,2,28.02.2021,1,02.09.2020,2,,,12.11.2020,1,,,09.11.2020,1,18.08.2020,1,30.11.2020,1,26.10.2020,1,02.07.2020,2,21.10.2020,2,12.10.2020,1,07.06.2020,1,01.11.2020,1,21.10.2020,1,26.08.2020,1,20.10.2020,1,30.10.2020,1,24.11.2020,1,30.10.2020,1,08.11.2020,1,19.07.2020,1,11.08.2020,1,08.12.2020,1,,,17.10.2020,2,18.08.2020,1,09.08.2020,1,19.07.2020,1,22.03.2021,1,28.08.2020,2,,,13.02.2021,1,03.08.2020,1,,,10.11.2020,1,14.12.2020,1,16.08.2021,1,10.05.2021,1,04.11.2020,2,25.08.2020,1,04.12.2020,1,,,,
08.04.2020,1,27.04.2020,2,28.03.2021,1,18.09.2020,1,,,25.11.2020,1,,,19.11.2020,1,27.08.2020,1,02.12.2020,1,31.10.2020,1,08.07.2020,1,27.10.2020,1,14.10.2020,1,08.06.2020,2,02.11.2020,1,25.10.2020,1,01.09.2020,1,21.10.2020,1,02.11.2020,1,03.12.2020,1,09.11.2020,1,01.01.2021,1,21.07.2020,3,08.10.2020,1,29.12.2020,1,,,19.10.2020,1,19.08.2020,1,13.08.2020,1,20.07.2020,1,26.03.2021,1,12.09.2020,1,,,03.03.2021,1,11.08.2020,1,,,13.11.2020,1,20.12.2020,1,,,,,11.11.2020,1,26.08.2020,1,10.12.2020,1,,,,
09.04.2020,1,29.04.2020,1,31.03.2021,1,08.10.2020,1,,,27.11.2020,1,,,01.12.2020,1,31.08.2020,1,07.12.2020,2,08.11.2020,1,11.07.2020,1,28.10.2020,1,18.10.2020,3,09.06.2020,1,09.11.2020,3,03.11.2020,1,09.09.2020,1,26.10.2020,1,03.11.2020,1,06.12.2020,1,18.11.2020,1,11.08.2021,1,23.07.2020,1,11.11.2020,2,08.03.2021,1,,,21.10.2020,1,17.09.2020,1,16.08.2020,1,23.07.2020,1,31.03.2021,1,26.09.2020,1,,,04.03.2021,1,14.08.2020,1,,,25.11.2020,1,28.03.2021,1,,,,,21.11.2020,2,02.09.2020,2,25.05.2021,1,,,,
10.04.2020,1,30.04.2020,3,01.08.2021,1,13.10.2020,1,,,05.12.2020,1,,,06.01.2021,1,02.09.2020,2,23.12.2020,1,17.11.2020,1,12.07.2020,1,29.10.2020,1,19.10.2020,1,17.06.2020,1,10.11.2020,1,13.11.2020,1,21.09.2020,1,27.10.2020,1,06.11.2020,1,19.03.2021,1,10.03.2021,5,,,26.07.2020,1,23.11.2020,1,13.03.2021,1,,,24.10.2020,2,24.09.2020,1,19.08.2020,1,24.07.2020,2,08.04.2021,1,27.09.2020,1,,,08.03.2021,1,16.08.2020,1,,,28.11.2020,1,30.03.2021,1,,,,,25.11.2020,1,05.09.2020,1,04.06.2021,1,,,,
