CountryName,CountryCode,Jurisdiction,Date,C1_School closing,C1_Flag,C1_Notes,C2_Workplace closing,C2_Flag,C2_Notes,C3_Cancel public events,C3_Flag,C3_Notes,C4_Restrictions on gatherings,C4_Flag,C4_Notes,C5_Close public transport,C5_Flag,C5_Notes,C6_Stay at home requirements,C6_Flag,C6_Notes,C7_Restrictions on internal movement,C7_Flag,C7_Notes,C8_International travel controls,C8_Notes,E1_Income support,E1_Flag,E1_Notes,E2_Debt/contract relief,E2_Notes,E3_Fiscal measures,E3_Notes,E4_International support,E4_Notes,H1_Public information campaigns,H1_Flag,H1_Notes,H2_Testing policy,H2_Notes,H3_Contact tracing,H3_Notes,H4_Emergency investment in healthcare,H4_Notes,H5_Investment in vaccines,H5_Notes,H6_Facial Coverings,H6_Flag,H6_Notes,H7_Vaccination policy,H7_Flag,H7_Notes,H8_Protection of elderly people,H8_Flag,H8_Notes,M1_Wildcard,M1_Notes,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
Kenya,KEN,NAT_TOTAL,20200315,3,1,"On March 15, 2020, the Kenyan government decided to shut down schools and colleges nationwide in response to COVID-19, affecting nearly 17 million students countrywide. https://web.archive.org/web/20200607144515/https://www.aa.com.tr/en/africa/coronavirus-kenya-shuts-schools-as-new-cases-confirmed/1767139 http://web.archive.org/web/20200824023446/https://www.brookings.edu/blog/education-plus-development/2020/05/06/how-school-closures-during-covid-19-further-marginalize-vulnerable-children-in-kenya/",1,1,"Work closing is recommended but not required. However, closing is required to meet the curfew hours. https://web.archive.org/web/20200406110459/https://www.president.go.ke/2020/03/15/address-to-the-nation-by-h-e-uhuru-kenyatta-c-g-h-president-of-the-republic-of-kenya-and-commander-in-chief-of-the-defence-forces-on-covid-19-commonly-known-as-coronavirus/",2,1,,4,1,,0,,,0,,,0,,,1,,0,,,0,,0,,0,,2,1,On media channels and through government-sponsored adverts https://web.archive.org/web/20200406111753/http://www.health.go.ke/,0,,0,,0,,0,,0,,,0,,,0,,,,,3,0,50.93,50.93,53.57,53.57,28.65,28.65,32.74,32.74,0,0
Kenya,KEN,NAT_TOTAL,20200325,3,1,,2,1,,2,1,,4,1,,1,1,,1,1,,0,,,4,,1,1,"Direct cash payments to vulnerable citizens bolstered, ""additional Ksh. 10 Billion to the elderly, orphans and other vulnerable members of our society through cash-transfers by the Ministry of Labour and Social Protection, to cushion them from the adverse economic effects of the COVID-19 pandemic"" https://web.archive.org/web/20200428114436/https://www.president.go.ke/2020/03/25/presidential-address-on-the-state-interventions-to-cushion-kenyans-against-economic-effects-of-covid-19-pandemic-on-25th-march-2020/",1,,0,"Suite of measures announced, no clear single figure/value -- All proposals can only be ratified by the National Assembly, and the National Treasury Cabinet Secretary Ukur Yatani has been directed to present them before Parliament for approval before April 1, 2020. List of what was announced below, including tax reliefs and measures to help reduce financial uncertainty among Kenyans: >100% tax relief to Kenyans earning Ksh24, 000 and below. >Pay as you earn (PAYE) reduction from a maximum of 30% to 25%. >Reduction of turnover tax rate from 3% to 1% for all micro, small and medium enterprises. >Reduction of resident income tax to 25%. >The Government to make available Ksh10 billion to vulnerable groups including the elderly and orphans, among others. This, the president, said will be done through cash transfers from the Ministry of Labour and Social Protection. >Temporary suspension of the listing of loan defaulters with the Credit Reference Bureau (CRB) of any person, micro, small and medium enterprise and corporate entities whose loan account is in arrears effective April 1, 2020. >Reduction of VAT from 16% to 14% effective April 1, 2020. >All ministries and State departments to make payments amounting to Ksh30 billion to those owed monies by the Government. This, the president said, must be done within three weeks from March 25. The Head of State also urged the private sector to clear pending bills. >KRA to expedite payment of all VAT refunds amounting to Ksh10 billion, or allow withholding of offsetting VAT. This, President Kenyatta said, must happen within three weeks. >The president and his deputy to take 80% pay-cut, all Cabinet Secretaries to take 30% pay-cuts, Chief Administrative Secretaries (30%) and Principal Secretaries (20%). >All State and public officers aged 50 and above; and have preexisting medical conditions, to take leave from work, or be allowed to work from home. This directive excludes those public officers working in the security department. >Reduce the Cash Reserve Ratio from 5.25% to 4.25%. The president said this will help increase liquidity of Ksh35 billion to commercial banks, which, in turn, will be in positions to provide loan services to â€œdistressed Kenyansâ€. >CBK directed to provide flexibility to bank loan classifications and loans performing as at March 2, 2020.",0,,2,1,,1,,1,,0,,0,,0,,,0,,,1,1,,,,28,0,72.22,72.22,84.52,84.52,54.17,54.17,54.76,54.76,50,50
Kenya,KEN,NAT_TOTAL,20200331,3,1,,2,1,,2,1,,4,1,,1,1,,2,1,,2,1,,4,,1,1,,1,,0,"The National Treasury implemented the following immediate reliefs and increase disposable income to the people of Kenya, through: I. 100 % Tax Relief for persons earning gross monthly income of up to Ksh. 24,000. II. Reduction of Income Tax Rate (Pay-As-You-Earn) from 30% to 25%. III. Reduction of Resident Income Tax (Corporation Tax) from 30% to 25%; IV. Reduction of the turnover tax rate from the current 3% to 1% for all Micro, Small and Medium Enterprises (MSMEs); V. Appropriation of an additional Ksh. 10 Billion to the elderly, orphans and other vulnerable members of our society through cash-transfers by the Ministry of Labour and Social Protection, to cushion them from the adverse economic effects of the COVID-19 pandemic; VI. Temporary suspension of the listing with Credit Reference Bureaus (CRB) of any person, Micro, Small and Medium Enterprises (MSMES) and corporate entities whose loan account fall overdue or is in arrears, effective 1st April, 2020. https://web.archive.org/web/20200406120050/https://www.president.go.ke/2020/03/25/presidential-address-on-the-state-interventions-to-cushion-kenyans-against-economic-effects-of-covid-19-pandemic-on-25th-march-2020/",0,,2,1,,1,,1,,0,,0,,0,,,0,,,1,1,,,,59,1,87.04,87.04,91.67,91.67,62.5,62.5,64.29,64.29,50,50
Kenya,KEN,NAT_TOTAL,20200406,3,1,,2,1,,2,1,,4,1,,1,1,"As part of the ""Restriction of Movement of Persons and Related Measures"" announced on 6 April, travel is prohibited between areas deemed as ""infected"" and ""not infected"" between 8-29 April. However, public transport can still operate within an ""infected"" area during this period provided compliance with health protocols and reduced capacity (see pages 656-657). https://web.archive.org/web/20200702130154/https://kam.co.ke/kam/wp-content/uploads/2020/04/L.-N.-No.-50-Public-Health-Amended-LEGAL-VERSION.pdf.pdf",3,0,"21 day movement ban in effect for Nairobi, Kilifi, Kwale and Mombasa everyone else under curfew and advised to stay indoors. https://archive.fo/wip/CvAbp",2,1,,4,,1,1,,1,,18780000,The National Treasury was directed by the President Uhuru Kenyatta to use Sh2 billion (USD 18.78M) which are proceeds collected from the corrupt to help the vulnerable people in the society. https://web.archive.org/web/20200414005133/https://www.capitalfm.co.ke/news/2020/04/odpp-channels-sh2-billion-graft-proceeds-to-covid-19-emergency-response-fund/,0,,2,1,,1,,1,,0,,0,,3,1,,0,,,1,1,,,,158,6,88.89,88.89,91.67,91.67,68.23,68.23,70.83,70.83,50,50
Kenya,KEN,NAT_TOTAL,20200407,3,1,,2,1,,2,1,,4,1,,1,1,,3,0,,2,1,,4,,1,1,,1,,0,"The National Treasury implemented the following immediate reliefs and increase disposable income to the people of Kenya, through: I. 100 % Tax Relief for persons earning gross monthly income of up to Ksh. 24,000. II. Reduction of Income Tax Rate (Pay-As-You-Earn) from 30% to 25%. III. Reduction of Resident Income Tax (Corporation Tax) from 30% to 25%; IV. Reduction of the turnover tax rate from the current 3% to 1% for all Micro, Small and Medium Enterprises (MSMEs); V. Appropriation of an additional Ksh. 10 Billion to the elderly, orphans and other vulnerable members of our society through cash-transfers by the Ministry of Labour and Social Protection, to cushion them from the adverse economic effects of the COVID-19 pandemic; VI. Temporary suspension of the listing with Credit Reference Bureaus (CRB) of any person, Micro, Small and Medium Enterprises (MSMES) and corporate entities whose loan account fall overdue or is in arrears, effective 1st April, 2020. https://web.archive.org/web/20200406120050/https://www.president.go.ke/2020/03/25/presidential-address-on-the-state-interventions-to-cushion-kenyans-against-economic-effects-of-covid-19-pandemic-on-25th-march-2020/",0,,2,1,,1,,1,,0,,0,,3,1,,0,,,1,1,,,,172,6,88.89,88.89,91.67,91.67,68.23,68.23,70.83,70.83,50,50
Kenya,KEN,NAT_TOTAL,20200408,3,1,,2,1,,2,1,,4,1,,1,1,,3,0,,2,1,"As part of the ""Restriction of Movement of Persons and Related Measures"" announced on 6 April, all public and air transport services into or out of infected areas are prohibited from 8 April to 29 April. https://web.archive.org/web/20200702130154/https://kam.co.ke/kam/wp-content/uploads/2020/04/L.-N.-No.-50-Public-Health-Amended-LEGAL-VERSION.pdf.pdf",4,,1,1,,1,,0,"The National Treasury implemented the following immediate reliefs and increase disposable income to the people of Kenya, through: I. 100 % Tax Relief for persons earning gross monthly income of up to Ksh. 24,000. II. Reduction of Income Tax Rate (Pay-As-You-Earn) from 30% to 25%. III. Reduction of Resident Income Tax (Corporation Tax) from 30% to 25%; IV. Reduction of the turnover tax rate from the current 3% to 1% for all Micro, Small and Medium Enterprises (MSMEs); V. Appropriation of an additional Ksh. 10 Billion to the elderly, orphans and other vulnerable members of our society through cash-transfers by the Ministry of Labour and Social Protection, to cushion them from the adverse economic effects of the COVID-19 pandemic; VI. Temporary suspension of the listing with Credit Reference Bureaus (CRB) of any person, Micro, Small and Medium Enterprises (MSMES) and corporate entities whose loan account fall overdue or is in arrears, effective 1st April, 2020. https://web.archive.org/web/20200406120050/https://www.president.go.ke/2020/03/25/presidential-address-on-the-state-interventions-to-cushion-kenyans-against-economic-effects-of-covid-19-pandemic-on-25th-march-2020/",0,,2,1,On media channels and throgh government-sponsored adverts https://web.archive.org/web/20200406111753/http://www.health.go.ke/,1,,1,,0,,0,,3,1,,0,,,1,1,,,,179,6,88.89,88.89,91.67,91.67,68.23,68.23,70.83,70.83,50,50
Kenya,KEN,NAT_TOTAL,20200415,3,1,,2,1,,2,1,,4,1,,1,1,,3,0,,2,1,"President Uhuru Kenyatta directed a mandatory curfew as of March 26, 2020 from 7pm to 5am. https://web.archive.org/web/20200406113807/https://www.theeastafrican.co.ke/news/ea/Kenya-goes-into-dusk-to-dawn-curfew/4552908-5506824-9plkom/",4,,1,1,,1,,0,"The National Treasury implemented the following immediate reliefs and increase disposable income to the people of Kenya, through: I. 100 % Tax Relief for persons earning gross monthly income of up to Ksh. 24,000. II. Reduction of Income Tax Rate (Pay-As-You-Earn) from 30% to 25%. III. Reduction of Resident Income Tax (Corporation Tax) from 30% to 25%; IV. Reduction of the turnover tax rate from the current 3% to 1% for all Micro, Small and Medium Enterprises (MSMEs); V. Appropriation of an additional Ksh. 10 Billion to the elderly, orphans and other vulnerable members of our society through cash-transfers by the Ministry of Labour and Social Protection, to cushion them from the adverse economic effects of the COVID-19 pandemic; VI. Temporary suspension of the listing with Credit Reference Bureaus (CRB) of any person, Micro, Small and Medium Enterprises (MSMES) and corporate entities whose loan account fall overdue or is in arrears, effective 1st April, 2020. https://web.archive.org/web/20200406120050/https://www.president.go.ke/2020/03/25/presidential-address-on-the-state-interventions-to-cushion-kenyans-against-economic-effects-of-covid-19-pandemic-on-25th-march-2020/",0,,2,1,On media channels and through government-sponsored adverts https://web.archive.org/web/20200406111753/http://www.health.go.ke/,1,,1,,0,,0,,3,1,,0,,,1,1,,,,225,10,88.89,88.89,91.67,91.67,68.23,68.23,70.83,70.83,50,50
Kenya,KEN,NAT_TOTAL,20200425,3,1,,2,1,,2,1,,4,1,,1,1,,3,0,"On 25 April, the President of Kenya announced an extension of the existing lockdown measures in the regions of Nairobi, Mombassa, Kilifi, and Kwale. The quarantine will be extended by 21 days as these areas are most at-risk for the virus. http://web.archive.org/web/20200824045521/https://www.bloomberg.com/news/articles/2020-04-25/kenya-shuts-off-capital-for-3-more-weeks-tax-changes-approved",2,1,,4,,1,1,,1,,0,,0,,2,1,,1,,1,,0,,0,,3,1,,0,,,1,1,,,,343,14,88.89,88.89,91.67,91.67,68.23,68.23,70.83,70.83,50,50
Kenya,KEN,NAT_TOTAL,20200430,3,1,,2,1,,2,1,,4,1,,1,1,,3,0,,2,1,,4,,1,1,"Direct cash payments to vulnerable citizens bolstered, ""additional Ksh. 10 Billion to the elderly, orphans and other vulnerable members of our society through cash-transfers by the Ministry of Labour and Social Protection, to cushion them from the adverse economic effects of the COVID-19 pandemic"" https://web.archive.org/web/20200428114436/https://www.president.go.ke/2020/03/25/presidential-address-on-the-state-interventions-to-cushion-kenyans-against-economic-effects-of-covid-19-pandemic-on-25th-march-2020/",1,"""On 19 March 2020, the Kenya Bankers Association announced that reliefs will be granted to borrowers affected by coronavirus COVID-19 if their repayments were up to date as at 2 March 2020."" https://web.archive.org/web/20200430225740/https://www.dlapiper.com/en/us/insights/publications/2020/03/coronavirus-on-loans-and-real-estate-arrangements-kenya/",0,,0,,2,1,,1,,1,,0,,0,,3,1,,0,,,1,1,,,,396,17,88.89,88.89,91.67,91.67,68.23,68.23,70.83,70.83,50,50
Kenya,KEN,NAT_TOTAL,20200523,3,1,,2,1,,2,1,,4,1,,1,1,,3,0,,2,1,,4,,1,1,,1,,5.00E+08,"On May 23, President Uhuru Kenyatta announced a Sh53.7 billion Economic Stimulus Package (ESP 2). This came a few weeks after he announced a raft of tax and expenditure measures to cushion the economy from the impact of the Covid-19 pandemic, his first ESP as president. https://web.archive.org/web/20200702132346/https://www.businessdailyafrica.com/analysis/ideas/Kenya-economic-stimulus-package-2-will-fall-far-short/4259414-5568156-11sjosb/index.html",0,,2,1,,1,,1,,0,,0,,3,1,,0,,,3,0,,,,1192,50,88.89,88.89,91.67,91.67,71.35,71.35,74.4,74.4,50,50
